笔记ID,标题,作者,点赞数,详情链接
68f5acbe00000000070367e2,一站式差旅管理平台，告别垫资报销烦恼,合思信息-单Lim,3,https://www.xiaohongshu.com/explore/68f5acbe00000000070367e2
60814b84000000002103cccc,Excel实用技巧系列（386）,噢哟,73,https://www.xiaohongshu.com/explore/60814b84000000002103cccc
687b1263000000001703118e,费用报销表改好了，原来可以这么简单。,独钟🌿,49,https://www.xiaohongshu.com/explore/687b1263000000001703118e
675bc7a70000000004029187,年度行政开支费用要复盘费用全景图,班班-行政圈赋能成煜咨询,433,https://www.xiaohongshu.com/explore/675bc7a70000000004029187
686fb8ee000000001c036f1f,企业员工费用报销系统设计,🔥炒枬,16,https://www.xiaohongshu.com/explore/686fb8ee000000001c036f1f
6879e6a2000000000b01c428,绝了！用旅行社自己的成本，自动精准报价,易行智旅,11,https://www.xiaohongshu.com/explore/6879e6a2000000000b01c428
68be4a43000000001c00c692,60秒快速生成图文报价单,深圳旅途科技,47,https://www.xiaohongshu.com/explore/68be4a43000000001c00c692
68fc59950000000007002175,团队旅行结算模板｜再也不因为钱扯皮了！,鹦鹉骑士,16,https://www.xiaohongshu.com/explore/68fc59950000000007002175
68e9c9f20000000005013aa4,企业差旅不内耗📊让差旅更智能、更有温度,携程商旅,14,https://www.xiaohongshu.com/explore/68e9c9f20000000005013aa4
693be8c4000000001e031230,企业差旅不内耗📊让差旅更科技、更有温度,祥瑞商旅平台,46,https://www.xiaohongshu.com/explore/693be8c4000000001e031230
67a15d2b0000000018009853,出差补助,微软MOS认证LIU老师🌸,26,https://www.xiaohongshu.com/explore/67a15d2b0000000018009853
686de60400000000100129b6,有效的旅行社系统，事半功倍～,深圳旅通软件科技有限公司,17,https://www.xiaohongshu.com/explore/686de60400000000100129b6
693795a3000000001f00ead5,救大命！财务终于不用手动对账了😭,差旅管家小D,1,https://www.xiaohongshu.com/explore/693795a3000000001f00ead5
647576a90000000012030593,,用友,4,https://www.xiaohongshu.com/explore/647576a90000000012030593
691d51f7000000001e036180,企业差旅主理人，快来体验一站式差旅平台！,差旅管家,2,https://www.xiaohongshu.com/explore/691d51f7000000001e036180
69281ead000000001e0283d1,别再以为携程商旅只服务大公司啦！🔥,携程商旅,19,https://www.xiaohongshu.com/explore/69281ead000000001e0283d1
68bfedc5000000001d00f1eb,如何节约差旅费用？怎样一省再省？,小红薯69113A3B,赞,https://www.xiaohongshu.com/explore/68bfedc5000000001d00f1eb
6906fca0000000000300f6df,,成果广告,赞,https://www.xiaohongshu.com/explore/6906fca0000000000300f6df
67fbc8cf000000000b02d419,✨金蝶人人报销！差旅单秒变智能行程表,云平台信息化管理,5,https://www.xiaohongshu.com/explore/67fbc8cf000000000b02d419
686ccd000000000015023ded,财税最硬核AI神器，效率暴增2000%！,星赞AI,赞,https://www.xiaohongshu.com/explore/686ccd000000000015023ded
68f9d42a000000000703407f,这套旅行社系统，让你的算钱速度翻倍⚡,深圳旅通软件科技有限公司,赞,https://www.xiaohongshu.com/explore/68f9d42a000000000703407f
68ac8468000000001d008336,记账时，自动计算金额总和,一句话记账,1,https://www.xiaohongshu.com/explore/68ac8468000000001d008336
6937e66b000000001b0203a7,会计+Gemini3.0=绝杀,蒙克在路上,53,https://www.xiaohongshu.com/explore/6937e66b000000001b0203a7
68ef718300000000070303ea,私车公用太头疼？合思费控轻松搞定报销！,合思,2,https://www.xiaohongshu.com/explore/68ef718300000000070303ea
691c55eb000000001e0054b5,打工人封神软件,有成报销,赞,https://www.xiaohongshu.com/explore/691c55eb000000001e0054b5
67e38ae9000000001d01ef39,人，我是滴！今天来个自我介绍,滴滴企业版,13,https://www.xiaohongshu.com/explore/67e38ae9000000001d01ef39
69460fcb000000001f00b4c4,企业差旅费控系统,捷琛商旅,2,https://www.xiaohongshu.com/explore/69460fcb000000001f00b4c4
67cd0b440000000029032148,懒癌也能坚持的Deepseek+Notion=AI自动记账,戈多来了,273,https://www.xiaohongshu.com/explore/67cd0b440000000029032148
661283a7000000001a01176e,这就是换iPhone的理由❗,Cayson来了,185,https://www.xiaohongshu.com/explore/661283a7000000001a01176e
66849c3c000000000d00ffad,也忒好用了吧！可能这就是公司都喜欢用云ERP,畅捷通信息技术服务,90,https://www.xiaohongshu.com/explore/66849c3c000000000d00ffad
6937be60000000001e021d9c,会计Excel神操作｜3个函数搞定账务汇总，实习,璽,赞,https://www.xiaohongshu.com/explore/6937be60000000001e021d9c
69393560000000001e033198,年终总结，差旅汇报被夸的行政都在用这招？,阿里商旅,56,https://www.xiaohongshu.com/explore/69393560000000001e033198
68afcc1a000000001b03c3b8,可以分享的电子版差旅费报销单,又又在成长,9,https://www.xiaohongshu.com/explore/68afcc1a000000001b03c3b8
669512710000000003025c11,🚘Excel车辆调度出行管理系统费用支出台账,一只咸鱼,72,https://www.xiaohongshu.com/explore/669512710000000003025c11
693976b1000000001e02ae7f,Ai文档管理助手工具,自然智群科技,41,https://www.xiaohongshu.com/explore/693976b1000000001e02ae7f
668515d3000000001c027f75,这个财务报销管理系统是来报恩的吧...,简道云,47,https://www.xiaohongshu.com/explore/668515d3000000001c027f75
67ecceb1000000001d02e0f3,EXCEL透视表 差旅费明细 分析表,久点设计,3,https://www.xiaohongshu.com/explore/67ecceb1000000001d02e0f3
67773959000000000900e708,述职报告|财务数据分析这样做，老板说🐮,喜欢分享ppt心得,36,https://www.xiaohongshu.com/explore/67773959000000000900e708
68c2dea4000000001c00c92f,我人傻了，酒店AI先进到这个程度了？？？,今日满房,8,https://www.xiaohongshu.com/explore/68c2dea4000000001c00c92f
69344728000000001e031274,只需要上传发票文件，就可自动识别,510爸爸,131,https://www.xiaohongshu.com/explore/69344728000000001e031274
68fa42c70000000003039bfe,不会算叠加折扣！一张表格帮你自动算,星宇|酒店运营管理一点通,66,https://www.xiaohongshu.com/explore/68fa42c70000000003039bfe
67ab63c9000000002802810f,会计人的外挂：DeepSeek+免费财务软件,果果的妈妈,1039,https://www.xiaohongshu.com/explore/67ab63c9000000002802810f
66285e7500000000040195e6,各部门财务费用支出Excel分析图💪,Excel中英文版数据可视化,650,https://www.xiaohongshu.com/explore/66285e7500000000040195e6
6946057b000000001e00ac03,这才是老板想看的费用支出明细表，数据清晰,小红梳辫子,3,https://www.xiaohongshu.com/explore/6946057b000000001e00ac03
68f84b8a00000000070147cc,30秒‼️DeepSeek+旅通系统一键出行程报价,深圳旅通软件科技有限公司,20,https://www.xiaohongshu.com/explore/68f84b8a00000000070147cc
6881c66e0000000012031531,企业差旅管理,行政人事那些事儿,9,https://www.xiaohongshu.com/explore/6881c66e0000000012031531
66fa99dc000000002c02f13d,工资表怎么自动计算,小君君36变,3368,https://www.xiaohongshu.com/explore/66fa99dc000000002c02f13d
677e488d000000000203e168,天呢，这是我见过最方便的差旅费管理明细了,奶酪,25,https://www.xiaohongshu.com/explore/677e488d000000000203e168
67ac760d00000000170394a4,财务人用好DeepSeek，月底不用再加班❗️,重生之我是CFO,1963,https://www.xiaohongshu.com/explore/67ac760d00000000170394a4
6947b670000000001e00eab2,用AI变个程序，1秒自动统计考勤明细,老云AI实战,2,https://www.xiaohongshu.com/explore/6947b670000000001e00eab2
68d26e67000000000b03ffe4,财务数智化🔥出差不取票，结算再提效🚆,携程商旅,4,https://www.xiaohongshu.com/explore/68d26e67000000000b03ffe4
687e0588000000001202de0f,毛利率和盈亏平衡点（自动计算表）,奶酪,1339,https://www.xiaohongshu.com/explore/687e0588000000001202de0f
68d11a66000000001003e3ac,费用报销明细表这样做就行啦～不用太复杂,情有独钟,121,https://www.xiaohongshu.com/explore/68d11a66000000001003e3ac
6916d5e40000000004004a1e,省钱攻略！小红书博主财税合规提现方案,上海互合财务咨询有限公司,6,https://www.xiaohongshu.com/explore/6916d5e40000000004004a1e
6943732b000000001e021370,基于千问模型的自动报价与下单系统,归去,3,https://www.xiaohongshu.com/explore/6943732b000000001e021370
67e3a571000000001e009f98,Coze 工作流，智能提取报销发票信息到飞书,卢卡同学学AI,81,https://www.xiaohongshu.com/explore/67e3a571000000001e009f98
6949fece000000001e0006bd,出差自然（日历）天数应怎样理解？,工福云工惠,2,https://www.xiaohongshu.com/explore/6949fece000000001e0006bd
67063562000000001b02084e,我们旅行社终于用上了旅行社管理系统,深圳旅通软件科技有限公司,31,https://www.xiaohongshu.com/explore/67063562000000001b02084e
6731d5f2000000001a01e21c,一张表解决让行政头痛的报销问题,行政摸鱼魔,215,https://www.xiaohongshu.com/explore/6731d5f2000000001a01e21c
67e3711b000000000d015e61,谁懂啊😂一键批量提取火车票信息到Excel,职场工具箱,40,https://www.xiaohongshu.com/explore/67e3711b000000000d015e61
693f8583000000001e00df21,旅通系统如何帮旅行社从一团乱账到清晰利润,深圳旅通软件科技有限公司,2,https://www.xiaohongshu.com/explore/693f8583000000001e00df21
68611aeb0000000017032915,发现一个宝藏工具，统计运费太快了,🚀效率小工具收集,1,https://www.xiaohongshu.com/explore/68611aeb0000000017032915
694931da000000001e0100e3,费用支出明细表这样做，数据清晰，老板喜欢,小绿豆,2,https://www.xiaohongshu.com/explore/694931da000000001e0100e3
6940cc05000000001e016bce,🔥告别报表地狱，AI帮你智能分析！,红圈工程管理系统,赞,https://www.xiaohongshu.com/explore/6940cc05000000001e016bce
68a2be9b000000001d014b97,免费试用自动化旅行社系统，真的🐮太牛了,深圳旅通软件科技有限公司,15,https://www.xiaohongshu.com/explore/68a2be9b000000001d014b97
662e21ab0000000001005bf1,车辆管理系统（自动化）,大橘excel~视频,159,https://www.xiaohongshu.com/explore/662e21ab0000000001005bf1
6947aaab000000001d0393eb,Excel全自动对账单模板，真的太棒啦,小绿豆,4,https://www.xiaohongshu.com/explore/6947aaab000000001d0393eb
67558cf9000000000700f4f4,还好出差可以报销,꧁君莫邪꧂,13,https://www.xiaohongshu.com/explore/67558cf9000000000700f4f4
6835b2290000000003039f98,,小Lin琳说~商旅,2,https://www.xiaohongshu.com/explore/6835b2290000000003039f98
6806104c000000001d0095be,这样做 费用报销明细表 非常清楚👍🏻,巧克力大王,253,https://www.xiaohongshu.com/explore/6806104c000000001d0095be
683e908b0000000022028fc7,旅行社计调必备！高效计算挂牌价与成本攻略,微微清ya.,191,https://www.xiaohongshu.com/explore/683e908b0000000022028fc7
6832e208000000002202af19,月底对账太麻烦，excel版全自动对账单，,信阳世纪中欣教育咨询,46,https://www.xiaohongshu.com/explore/6832e208000000002202af19
6609eba3000000001b011f59,行政干货｜控费降本 行政差旅管理篇,晶姐姐,156,https://www.xiaohongshu.com/explore/6609eba3000000001b011f59
67bfe96b0000000029026593,企业差旅如何更省❓查看差旅管理趋势,美团企业版,59,https://www.xiaohongshu.com/explore/67bfe96b0000000029026593
691406c70000000007021c21,差旅降本30%！选对TMC很重要,美团企业版,47,https://www.xiaohongshu.com/explore/691406c70000000007021c21
674180ce0000000002028ce8,差旅费报销流程及制度财务培训PPT模板27页,热爱,63,https://www.xiaohongshu.com/explore/674180ce0000000002028ce8
676d72fa000000000900c06f,费用分析—差旅分析,努力发光的豆豆,93,https://www.xiaohongshu.com/explore/676d72fa000000000900c06f
669735920000000025006d61,后悔知道得太晚！这款智能薪酬系统真的好用,酷盯云严选（数字化专家）,13,https://www.xiaohongshu.com/explore/669735920000000025006d61
67f501d8000000001d016097,不会还有HR在手动算工资吧……🤔,i人事,27,https://www.xiaohongshu.com/explore/67f501d8000000001d016097
67e55672000000001d01cb61,财务人必看!DeepSeek开挂的10个操操作✨,亲爱的菜菜,77,https://www.xiaohongshu.com/explore/67e55672000000001d01cb61
68240806000000002002a090,泰好用啦❗这个erp系统我爱了～,北有阿友,10,https://www.xiaohongshu.com/explore/68240806000000002002a090
674e9d190000000002029660,行政HR常用资料,酒酿葡萄(禁🤐),186,https://www.xiaohongshu.com/explore/674e9d190000000002029660
687a0fa100000000100255e9,谁用谁夸😎分分钟搞定各种定制团报价！,深圳旅通软件科技有限公司,1,https://www.xiaohongshu.com/explore/687a0fa100000000100255e9
6947c303000000001f009fa1,图片语音文字自动免费AI记账,小川的笔记,6,https://www.xiaohongshu.com/explore/6947c303000000001f009fa1
69475bf6000000000d03f1aa,实操：通过库（如pandas）读取Excel文件,南京计稷教育,5,https://www.xiaohongshu.com/explore/69475bf6000000000d03f1aa
693698f200000000190247b8,💼一场同传服务具体是怎么收费的？,火星翻译,1,https://www.xiaohongshu.com/explore/693698f200000000190247b8
6603d4cf0000000014004175,做对这❸点❗️直接节省15%+差旅成本,携程商旅,48,https://www.xiaohongshu.com/explore/6603d4cf0000000014004175
63f88d31000000001303435e,【送码】一款帮你自动整理发票的App,工具艺术家,568,https://www.xiaohongshu.com/explore/63f88d31000000001303435e
68c2a4d5000000001d015ac6,财务必看！零售巨头60%人力成本这样省下来,汇联易,1,https://www.xiaohongshu.com/explore/68c2a4d5000000001d015ac6
688b6231000000002501db28,,Ever,27,https://www.xiaohongshu.com/explore/688b6231000000002501db28
694622b5000000001e008ef1,全自动对账单，再也不用手工对账啦！,Lucky77,5,https://www.xiaohongshu.com/explore/694622b5000000001e008ef1
693a93cc000000001e00b515,导游报账新玩法：企业码+旅通系统🔥,深圳旅通软件,赞,https://www.xiaohongshu.com/explore/693a93cc000000001e00b515
68e9077c0000000005033d53,打工必备技!3步保护Excel公式 不被泄露修改,你の办公搭子米娅,3705,https://www.xiaohongshu.com/explore/68e9077c0000000005033d53
694256ab000000001d03d977,🚀差旅自由！差旅管理神器找到了,差旅管家小D,1,https://www.xiaohongshu.com/explore/694256ab000000001d03d977
67c7ce4b000000000903b09b,DeepSeek一秒完成会计对账🔥,一乐学长Pro,121,https://www.xiaohongshu.com/explore/67c7ce4b000000000903b09b
6860046a00000000150202ed,【领导超爱】财务费控管理系统建设方案,20年IT老炮儿,69,https://www.xiaohongshu.com/explore/6860046a00000000150202ed
6708e521000000002a037fc1,考勤假期管理神器，打工人的福音！🔑📅,含晓,39,https://www.xiaohongshu.com/explore/6708e521000000002a037fc1
687756e70000000010026764,旅行社管理很难？不存在的……,深圳旅通软件科技有限公司,1,https://www.xiaohongshu.com/explore/687756e70000000010026764
682b38b3000000002100975c,这些年，你为录入表单浪费了多少时间？,简录AI,24,https://www.xiaohongshu.com/explore/682b38b3000000002100975c
69490e7b00000000190273de,Excel表格自动对账，月底对账很简单～,小确幸,2,https://www.xiaohongshu.com/explore/69490e7b00000000190273de
67dd2a28000000000603e674,,游品汇,31,https://www.xiaohongshu.com/explore/67dd2a28000000000603e674
6513d4a7000000001e0317d9,行政人事必备！好用便捷的车辆管理系统来了,蓝库云,120,https://www.xiaohongshu.com/explore/6513d4a7000000001e0317d9
6836fdb4000000000303eb34,打工人怒吼：为什么没早发现这个免费系统？,小Lin琳说~商旅,2,https://www.xiaohongshu.com/explore/6836fdb4000000000303eb34
68395b86000000002200549f,酒店人，你好，我是报恩系统！,订单来了,115,https://www.xiaohongshu.com/explore/68395b86000000002200549f
6947ec39000000001e013d19,如何用AI解决企业最繁琐的“发票难题”？,Lin,2,https://www.xiaohongshu.com/explore/6947ec39000000001e013d19
692d43eb000000000d03c087,会议日程管理|高端会议就是这么简单！,会议会务系统,赞,https://www.xiaohongshu.com/explore/692d43eb000000000d03c087
68948437000000002501e1b2,【AI+财务实操课】发票管理效率翻倍！,阿西聊Ai实战,15,https://www.xiaohongshu.com/explore/68948437000000002501e1b2
657fbaeb000000003403fe7a,超好用！假期管理系统,大橘excel,173,https://www.xiaohongshu.com/explore/657fbaeb000000003403fe7a
67bc66c7000000002902a3a6,NI会计的！AI可以用到哪些场景?,金记人小NI,16,https://www.xiaohongshu.com/explore/67bc66c7000000002902a3a6
6901da460000000005000295,智能票财税,旺旺财税大礼包,赞,https://www.xiaohongshu.com/explore/6901da460000000005000295
6936bb51000000001b02277e,用Ai做工作总比不用的好！,蒙克在路上,1,https://www.xiaohongshu.com/explore/6936bb51000000001b02277e
67a9f214000000001902d070,公司刚来的新人，最基础的用友都不会😨,不掉小珍🐷,1965,https://www.xiaohongshu.com/explore/67a9f214000000001902d070
68b67a1f000000001d02c93a,“让企业告别‘糊涂账’，用一张实时数据看板，,行业洞察局,赞,https://www.xiaohongshu.com/explore/68b67a1f000000001d02c93a
6941279d000000000d03db6c,旅行社必备ERP管理系统,深圳市旅程云科技有限公司,赞,https://www.xiaohongshu.com/explore/6941279d000000000d03db6c
6889b426000000000403c821,告别手动整理火车票信息，这个免费神器救我,办公效率秘籍,1,https://www.xiaohongshu.com/explore/6889b426000000000403c821
6932e864000000001d03800a,大家出差公司给多少补贴啊？,外企情报员,187,https://www.xiaohongshu.com/explore/6932e864000000001d03800a
690f361a000000000700bac0,全自动化对账单，真的香！,柠檬泡泡,10,https://www.xiaohongshu.com/explore/690f361a000000000700bac0
68f9f47c0000000005030503,旅行社财务不加班的秘密❗️🎉,深圳市旅程云科技有限公司,2,https://www.xiaohongshu.com/explore/68f9f47c0000000005030503
685e63ab0000000010010792,🔥8000+旅行社都在用的ERP管理系统,深圳旅通软件,2,https://www.xiaohongshu.com/explore/685e63ab0000000010010792
694919e8000000001e03be0c,男朋友整理的做账顺序，赞👍🏻,岚歆,7,https://www.xiaohongshu.com/explore/694919e8000000001e03be0c
6895b6a0000000002502037d,旅行社都在用的ERP系统,深圳旅通软件,1,https://www.xiaohongshu.com/explore/6895b6a0000000002502037d
66cae1c0000000001d015bb6,Excel教程vlookup函数实战经典案例运费计算,番茄Excel,1455,https://www.xiaohongshu.com/explore/66cae1c0000000001d015bb6
68ad5b24000000001d008582,2025年企业差旅商城系统选型指南,合思信息,7,https://www.xiaohongshu.com/explore/68ad5b24000000001d008582
68ecbd380000000007003249,旅行社一定要知道的三个算账小技巧,深圳旅通软件,赞,https://www.xiaohongshu.com/explore/68ecbd380000000007003249
6942526c000000001e00f75f,别再傻傻贴发票！企业羊毛不薅，会亏亿点点,差旅管家小D,赞,https://www.xiaohongshu.com/explore/6942526c000000001e00f75f
67d7909b000000001d024489,必须曝光这个旅行社系统！！！,深圳旅通软件,5,https://www.xiaohongshu.com/explore/67d7909b000000001d024489
6711f833000000002401a998,机票月结服务真的很省心，企业这样做真省钱,航信达票务代理,2,https://www.xiaohongshu.com/explore/6711f833000000002401a998
693665ba000000001f009cfd,企业差旅管理，企业机票高效预订服务！,航信达票务代理,赞,https://www.xiaohongshu.com/explore/693665ba000000001f009cfd
6889e91a00000000250295b7,功能这么全还好用的旅行社系统，被我用到了！,深圳旅通软件,1,https://www.xiaohongshu.com/explore/6889e91a00000000250295b7
66b9d08c000000000d03041a,旅行社计调必备神器,旅行社私域营销+业财系统,3,https://www.xiaohongshu.com/explore/66b9d08c000000000d03041a
692a2483000000000d03c98c,一个动作为你企业节税14.5%，你会了吗,夏语佟,1,https://www.xiaohongshu.com/explore/692a2483000000000d03c98c
693a860e000000001e012548,旅行社对账0误差？我靠这个系统做到了！,深圳市旅程云科技有限公司,1,https://www.xiaohongshu.com/explore/693a860e000000001e012548
685a52f7000000000b02c866,AI大模型应用场景大全,翰联科技数据网,8,https://www.xiaohongshu.com/explore/685a52f7000000000b02c866
693d5938000000000d036b7b,财政部回复：差旅费报销常见问题汇总（32问,楚宁教体制内财务,494,https://www.xiaohongshu.com/explore/693d5938000000000d036b7b
691ae562000000000703443b,HR如何做年度人力资源预算❓,莫菲-人事行政陪跑,72,https://www.xiaohongshu.com/explore/691ae562000000000703443b
68ef1813000000000301ab9e,宝子们！API对接+分账 难题一次搞定！🎯,米会来-商家服务运营中心,1,https://www.xiaohongshu.com/explore/68ef1813000000000301ab9e
646e0bcb0000000027011a4a,油耗计算-简单又现实之完整版,卟叽,648,https://www.xiaohongshu.com/explore/646e0bcb0000000027011a4a
693bfad9000000001f00cb7e,,悦己,2,https://www.xiaohongshu.com/explore/693bfad9000000001f00cb7e
676cdd0e000000000b02171e,,揣兜无忧 专业航空票务,3,https://www.xiaohongshu.com/explore/676cdd0e000000000b02171e
6808b0df000000001201da8f,✨一键采集酒店信息神器,枫璟杂货铺,4,https://www.xiaohongshu.com/explore/6808b0df000000001201da8f
69412851000000001f00fe41,这一次，企业差旅真相一次说清✈️,阿里商旅,6,https://www.xiaohongshu.com/explore/69412851000000001f00fe41
694b6e2a000000001e02e576,财务人必看：机票、火车票抵扣进项税最全指南,momo,赞,https://www.xiaohongshu.com/explore/694b6e2a000000001e02e576
69425de2000000001d03c2f6,海外旅行社效率神器！,深圳旅途科技,1,https://www.xiaohongshu.com/explore/69425de2000000001d03c2f6
69442d58000000001f00ef5e,HR 救星！不会公式也能一键汇总考勤表📝,老云AI实战,2,https://www.xiaohongshu.com/explore/69442d58000000001f00ef5e
69253ec6000000001e009d1b,AI,廿一,赞,https://www.xiaohongshu.com/explore/69253ec6000000001e009d1b
692d4e15000000001b031dc5,研发费用8类归集范围📕,Yomi老师-企业服务,6,https://www.xiaohongshu.com/explore/692d4e15000000001b031dc5
67e6083c000000001d02e724,3秒完成一年人员人工费用项目分配表,泰克思-研发费用合规智能管理系统,赞,https://www.xiaohongshu.com/explore/67e6083c000000001d02e724
6936f53c000000001e031b31,,逐夏（提高情商版）,39,https://www.xiaohongshu.com/explore/6936f53c000000001e031b31
68b505fd000000001d009af5,费控商旅系统选型避坑指南,合思信息,2,https://www.xiaohongshu.com/explore/68b505fd000000001d009af5
690ab7e200000000050382f7,,小红薯690BC972,1,https://www.xiaohongshu.com/explore/690ab7e200000000050382f7
6927c5f8000000000d03a2a3,文旅短视频报价大公开！帮你避开报价陷阱✨,狐涂文化传媒,赞,https://www.xiaohongshu.com/explore/6927c5f8000000000d03a2a3
694a3f56000000000d039ce9,30w以下不是免税嘛，为什么还要交税？,财税小沈,赞,https://www.xiaohongshu.com/explore/694a3f56000000000d039ce9
68ccb94a000000000b03cbd7,#如何降低经营成本 #业绩提成自动计算,科云软件销售中心,赞,https://www.xiaohongshu.com/explore/68ccb94a000000000b03cbd7
69489b13000000001b0314bd,普及一下做账顺序,小诺企服（南通财税）,15,https://www.xiaohongshu.com/explore/69489b13000000001b0314bd
69461520000000001e00bfb5,做线上生意的宝子，分账别再手动算了！,吉連V,赞,https://www.xiaohongshu.com/explore/69461520000000001e00bfb5
694756950000000019025b4c,给大家普及一下做账顺序,小南,4,https://www.xiaohongshu.com/explore/694756950000000019025b4c
6943babb000000001e023bea,💰美问系统多少钱一年？完整报价单来啦！,美业研究僧,1,https://www.xiaohongshu.com/explore/6943babb000000001e023bea
691ef89d000000001e009155,导游手机端报账,美游ERP 孙雷,3,https://www.xiaohongshu.com/explore/691ef89d000000001e009155
68959786000000002500d332,旅行定制师，告别信息差🔥省钱不费心,易行智旅,9,https://www.xiaohongshu.com/explore/68959786000000002500d332
